Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
477,2016,NBA,2,36,MIL,Malcolm Brogdon,23.2,G,us,University of Virginia,2017.0,2019.0,128.0,27.9,11.3,3.0,3.8,1.0,0.2,0.469,0.504,0.395,0.876,7.3,0.098
478,2006,NBA,1,20,NYK,Renaldo Balkman,21.354,F,us,University of South Carolina,2007.0,2012.0,221.0,13.9,4.0,3.5,0.6,0.7,0.5,0.51,0.543,0.172,0.542,7.2,0.113
479,2010,NBA,1,16,MIN,Luke Babbitt,21.009,F,us,"University of Nevada, Reno",2011.0,2018.0,381.0,14.0,4.8,2.2,0.6,0.2,0.2,0.408,0.417,0.402,0.747,7.2,0.065
480,2011,NBA,1,20,MIN,Donatas Motiejunas,20.281,F-C,lt,,2013.0,2017.0,248.0,18.4,7.4,3.8,1.1,0.5,0.3,0.469,0.529,0.3,0.6,7.2,0.076
481,2016,NBA,1,7,DEN,Jamal Murray,19.125,G,ca,University of Kentucky,2017.0,2019.0,168.0,26.6,13.3,3.2,2.7,0.8,0.3,0.431,0.487,0.357,0.896,7.2,0.078
482,2016,NBA,1,9,TOR,Jakob Poeltl,20.257,C,at,University of Utah,2017.0,2019.0,139.0,15.7,5.3,4.1,0.5,0.4,0.9,0.64,0.64,0.5,0.576,7.2,0.159
483,2003,NBA,1,2,DET,Darko Milicic,18.01,F-C,rs,,2004.0,2013.0,468.0,18.5,6.0,4.2,0.9,0.4,1.3,0.46,0.461,0.0,0.574,7.1,0.04
484,2003,NBA,1,19,UTA,Sasha Pavlovic,19.228,G-F,me,,2004.0,2013.0,567.0,15.7,4.9,1.8,0.9,0.5,0.2,0.404,0.433,0.346,0.673,7.0,0.038
485,2015,NBA,1,16,BOS,Terry Rozier,21.105,G,us,University of Louisville,2016.0,2019.0,198.0,19.0,7.2,3.5,2.1,0.7,0.2,0.377,0.395,0.356,0.775,7.0,0.09
486,2010,NBA,2,35,WAS,Nemanja Bjelica,22.051,F,rs,,2016.0,2019.0,198.0,19.2,6.3,3.9,1.3,0.6,0.3,0.457,0.535,0.379,0.753,6.9,0.088
487,1999,NBA,2,32,CHI,Michael Ruffin,22.165,F,us,University of Tulsa,2000.0,2009.0,414.0,14.4,1.7,3.9,0.6,0.5,0.5,0.407,0.409,0.0,0.459,6.8,0.055
488,2013,NBA,1,25,LAC,Reggie Bullock,22.109,G-F,us,University of North Carolina,2014.0,2019.0,212.0,16.3,5.6,1.9,0.9,0.4,0.1,0.444,0.499,0.397,0.808,6.8,0.094
489,2013,NBA,2,39,POR,Jeff Withey,23.118,C,us,University of Kansas,2014.0,2018.0,206.0,10.1,3.2,2.5,0.3,0.3,0.8,0.525,0.537,0.143,0.716,6.8,0.157
490,2006,NBA,1,17,IND,Shawne Williams,20.137,F,us,University of Memphis,2007.0,2015.0,314.0,17.1,5.6,3.0,0.7,0.4,0.5,0.403,0.469,0.339,0.755,6.7,0.06
491,2015,NBA,1,12,UTA,Trey Lyles,19.237,F,ca,University of Kentucky,2016.0,2019.0,229.0,17.6,7.4,3.9,1.0,0.4,0.3,0.433,0.483,0.352,0.701,6.7,0.08
