Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
576,2009,NBA,2,38,POR,Jon Brockman,22.103,F,us,University of Washington,2010.0,2012.0,150.0,10.5,2.1,3.1,0.3,0.2,0.1,0.488,0.49,0.0,0.618,3.7,0.113
577,2012,NBA,2,45,PHI,Justin Hamilton,22.094,C,us,Louisiana State University,2014.0,2017.0,113.0,17.4,6.1,3.6,0.8,0.5,0.6,0.464,0.56,0.309,0.798,3.7,0.091
578,2005,NBA,1,14,MIN,Rashad McCants,20.281,G,us,University of North Carolina,2006.0,2009.0,249.0,20.2,10.0,2.0,1.3,0.7,0.2,0.431,0.467,0.368,0.741,3.6,0.035
579,2017,NBA,1,30,UTA,Josh Hart,22.114,G,us,Villanova University,2018.0,2019.0,68.0,23.8,8.4,4.3,1.3,0.9,0.3,0.475,0.553,0.403,0.682,3.6,0.108
580,1997,NBA,1,11,SAC,Tariq Abdul-Wahad,22.24,F,fr,San Jose State University,1998.0,2003.0,236.0,20.4,7.8,3.3,1.1,0.8,0.4,0.417,0.425,0.237,0.703,3.5,0.035
581,2013,NBA,2,47,ATL,Raul Neto,21.044,G,br,,2016.0,2018.0,162.0,14.5,4.7,1.2,1.7,0.6,0.1,0.439,0.469,0.388,0.754,3.4,0.07
582,2016,NBA,1,12,UTA,Taurean Prince,22.099,F,us,Baylor University,2017.0,2019.0,145.0,24.6,10.9,3.9,1.9,0.9,0.5,0.423,0.461,0.376,0.83,3.4,0.045
583,1997,NBA,2,44,CLE,Cedric Henderson,22.112,F,us,University of Memphis,1998.0,2002.0,260.0,23.8,7.3,2.9,1.6,0.9,0.4,0.436,0.443,0.14,0.715,3.3,0.026
584,2005,NBA,2,39,LAL,Von Wafer,19.347,G,us,Florida State University,2006.0,2012.0,200.0,12.4,5.3,1.2,0.7,0.4,0.1,0.42,0.469,0.325,0.751,3.3,0.064
585,2009,NBA,1,20,UTA,Eric Maynor,22.02,G,us,Virginia Commonwealth University,2010.0,2014.0,267.0,14.6,4.3,1.3,2.8,0.4,0.1,0.392,0.409,0.35,0.721,3.3,0.041
586,2010,NBA,1,20,SAS,James Anderson,21.096,G-F,us,Oklahoma State University,2011.0,2016.0,247.0,17.5,5.8,2.3,1.2,0.5,0.2,0.411,0.495,0.321,0.755,3.3,0.037
587,2015,NBA,2,44,PHO,Andrew Harrison,20.245,G,us,University of Kentucky,2017.0,2018.0,128.0,21.9,7.5,2.1,2.9,0.7,0.4,0.378,0.424,0.302,0.771,3.3,0.056
588,2017,NBA,1,7,MIN,Lauri Markkanen,20.036,F-C,fi,University of Arizona,2018.0,2018.0,68.0,29.7,15.2,7.5,1.2,0.6,0.6,0.434,0.497,0.362,0.843,3.3,0.079
589,1997,NBA,1,25,NYK,John Thomas,21.296,F,us,University of Minnesota,1998.0,2006.0,208.0,10.8,2.7,2.1,0.3,0.3,0.2,0.502,0.505,0.0,0.591,3.2,0.067
590,2004,NBA,1,29,IND,David Harrison,21.319,C,us,University of Colorado,2005.0,2008.0,189.0,14.2,5.0,2.9,0.2,0.3,1.0,0.53,0.53,,0.525,3.2,0.057
591,2006,NBA,1,30,POR,Joel Freeland,19.146,F-C,gb,,2013.0,2015.0,151.0,12.1,3.2,3.4,0.4,0.2,0.4,0.459,0.461,0.0,0.728,3.2,0.084
592,2016,NBA,1,29,SAS,Dejounte Murray,19.282,G,us,University of Washington,2017.0,2018.0,119.0,17.4,6.6,4.2,2.3,0.9,0.3,0.441,0.452,0.316,0.708,3.2,0.074
593,2016,NBA,2,31,BOS,Deyonta Davis,19.208,C-F,us,Michigan State University,2017.0,2018.0,98.0,12.1,4.3,3.2,0.4,0.2,0.6,0.593,0.593,,0.64,3.2,0.13
594,2017,NBA,1,23,TOR,OG Anunoby,19.345,F,gb,Indiana University,2018.0,2019.0,79.0,20.3,6.0,2.5,0.7,0.7,0.2,0.47,0.604,0.367,0.629,3.2,0.096
595,1998,NBA,1,24,SAS,Felipe Lopez,23.193,G,do,St. John's University,1999.0,2002.0,249.0,16.6,5.8,2.4,1.0,0.6,0.2,0.432,0.445,0.327,0.659,3.1,0.036
596,2001,NBA,2,46,MIN,Loren Woods,23.012,F-C,us,University of Arizona,2002.0,2008.0,215.0,11.3,2.6,3.2,0.3,0.3,0.6,0.419,0.423,0.143,0.642,3.1,0.062
597,2005,NBA,1,15,NJN,Antoine Wright,21.148,G-F,us,Texas A&M University,2006.0,2011.0,297.0,19.2,5.4,2.3,1.0,0.5,0.2,0.412,0.467,0.304,0.674,3.1,0.026
598,2007,NBA,1,6,MIL,Yi Jianlian,19.249,F,cn,,2008.0,2012.0,272.0,22.2,7.9,4.9,0.7,0.5,0.7,0.404,0.413,0.333,0.78,3.1,0.025
599,2011,NBA,1,25,BOS,MarShon Brooks,22.153,G-F,us,Providence College,2012.0,2019.0,174.0,17.9,8.1,2.2,1.5,0.6,0.2,0.445,0.472,0.351,0.756,3.1,0.048
600,2014,NBA,1,8,SAC,Nik Stauskas,20.267,G,ca,University of Michigan,2015.0,2019.0,271.0,21.2,7.1,2.1,1.6,0.4,0.3,0.388,0.436,0.352,0.804,3.1,0.026
601,2016,NBA,1,14,CHI,Denzel Valentine,22.225,G,us,Michigan State University,2017.0,2018.0,134.0,22.9,8.0,4.1,2.3,0.7,0.1,0.399,0.434,0.374,0.754,3.1,0.048
602,2017,NBA,2,38,CHI,Jordan Bell,22.172,F,us,University of Oregon,2018.0,2019.0,62.0,13.9,4.4,3.5,1.7,0.6,1.0,0.632,0.645,0.0,0.696,3.1,0.175
603,2001,NBA,1,11,BOS,Kedrick Brown,20.106,G,us,Okaloosa-Walton Community College,2002.0,2005.0,143.0,13.5,3.6,2.4,0.7,0.6,0.2,0.405,0.471,0.274,0.64,3.0,0.074
604,2005,NBA,2,48,SEA,Mickael Gelabale,22.043,F,gp,,2007.0,2013.0,145.0,16.2,4.6,2.3,0.8,0.3,0.2,0.47,0.519,0.316,0.815,3.0,0.062
605,2007,NBA,1,17,NJN,Sean Williams,20.293,C-F,us,Boston College,2008.0,2012.0,137.0,14.4,4.2,3.4,0.3,0.3,1.2,0.511,0.512,0.0,0.624,3.0,0.073
606,2011,NBA,1,26,DAL,Jordan Hamilton,20.265,G-F,us,University of Texas at Austin,2012.0,2016.0,151.0,13.9,5.9,2.8,0.8,0.5,0.2,0.408,0.451,0.357,0.67,3.0,0.069
607,2011,NBA,1,28,CHI,Norris Cole,22.258,G,us,Cleveland State University,2012.0,2017.0,360.0,22.3,7.0,2.0,2.7,0.8,0.1,0.407,0.436,0.324,0.743,3.0,0.018
608,2013,NBA,2,48,LAL,Ryan Kelly,22.085,F,us,Duke University,2014.0,2017.0,163.0,19.2,6.0,3.1,1.3,0.5,0.5,0.378,0.416,0.316,0.797,3.0,0.046
609,2015,NBA,1,3,PHI,Jahlil Okafor,19.197,C-F,us,Duke University,2016.0,2019.0,133.0,23.2,12.8,5.3,1.0,0.3,1.0,0.515,0.517,0.2,0.684,3.0,0.047
610,1998,NBA,2,36,SAC,Jerome James,22.225,C,us,Florida Agricultural and Mechanical University,1999.0,2009.0,358.0,13.3,4.3,3.1,0.3,0.3,1.1,0.485,0.486,0.0,0.617,2.9,0.029
611,1999,NBA,1,11,CLE,Trajan Langdon,23.053,G,us,Duke University,2000.0,2002.0,119.0,14.6,5.4,1.3,1.3,0.5,0.1,0.416,0.429,0.396,0.91,2.9,0.079
612,1999,NBA,2,53,MIA,Rodney Buford,21.245,G-F,us,Creighton University,2000.0,2005.0,230.0,18.2,6.4,2.6,0.8,0.5,0.1,0.412,0.433,0.3,0.758,2.9,0.033
613,2002,NBA,2,44,CHI,Lonny Baxter,23.156,F,us,University of Maryland,2003.0,2006.0,162.0,11.6,3.9,2.9,0.2,0.2,0.4,0.466,0.469,0.2,0.657,2.9,0.075
614,2008,NBA,2,33,POR,Joey Dorsey,24.199,F,us,University of Memphis,2009.0,2015.0,130.0,11.4,2.6,3.9,0.4,0.5,0.3,0.534,0.536,0.0,0.375,2.9,0.092
615,2009,NBA,1,14,PHO,Earl Clark,21.165,F,us,University of Louisville,2010.0,2015.0,261.0,13.9,4.4,3.0,0.5,0.3,0.5,0.403,0.424,0.328,0.664,2.9,0.038
616,2014,NBA,1,27,PHO,Bogdan Bogdanovic,21.317,G,rs,,2018.0,2018.0,78.0,27.9,11.8,2.9,3.3,0.9,0.2,0.446,0.485,0.392,0.84,2.9,0.064
617,2016,NBA,1,10,MIL,Thon Maker,19.123,F-C,ss,,2017.0,2019.0,132.0,13.7,4.5,2.6,0.5,0.4,0.6,0.431,0.486,0.333,0.681,2.9,0.076
618,1997,NBA,1,18,POR,Chris Anstey,22.181,C,au,,1998.0,2000.0,155.0,13.9,5.2,3.4,0.8,0.5,0.4,0.413,0.424,0.138,0.755,2.8,0.062
619,2015,NBA,1,8,DET,Stanley Johnson,19.031,F,us,University of Arizona,2016.0,2019.0,222.0,22.6,7.0,3.4,1.5,0.9,0.2,0.369,0.417,0.294,0.76,2.8,0.027
620,2015,NBA,1,25,MEM,Jarell Martin,21.037,F,us,Louisiana State University,2016.0,2019.0,143.0,18.3,6.2,4.0,0.7,0.4,0.5,0.438,0.457,0.341,0.763,2.8,0.051
621,2015,NBA,2,41,BRK,Pat Connaughton,22.175,G,us,University of Notre Dame,2016.0,2019.0,157.0,12.5,3.7,1.6,0.8,0.2,0.2,0.418,0.482,0.359,0.845,2.8,0.069
622,2000,NBA,1,4,CHI,Marcus Fizer,21.328,F,us,Iowa State University,2001.0,2006.0,289.0,20.9,9.6,4.6,1.2,0.5,0.3,0.435,0.446,0.191,0.691,2.7,0.022
623,2012,NBA,1,23,ATL,John Jenkins,21.12,G,us,Vanderbilt University,2013.0,2017.0,145.0,12.8,5.1,1.5,0.8,0.2,0.1,0.448,0.513,0.364,0.849,2.7,0.071
624,2017,NBA,1,12,DET,Luke Kennard,21.003,G,us,Duke University,2018.0,2019.0,76.0,19.8,7.6,2.4,1.7,0.6,0.2,0.449,0.471,0.416,0.855,2.7,0.087
625,1998,NBA,2,44,NYK,Sean Marks,22.311,F-C,nz,University of California,1999.0,2011.0,230.0,9.9,2.8,2.2,0.2,0.1,0.4,0.448,0.459,0.2,0.665,2.6,0.055
626,2005,NBA,1,13,CHA,Sean May,21.09,F,us,University of North Carolina,2006.0,2010.0,119.0,15.7,6.9,4.0,1.0,0.4,0.4,0.458,0.462,0.231,0.746,2.6,0.068
627,2009,NBA,2,45,MIN,Nick Calathes,20.143,G,us,University of Florida,2014.0,2015.0,129.0,15.6,4.6,1.9,2.7,1.0,0.1,0.441,0.476,0.288,0.581,2.6,0.063
628,2016,NBA,1,28,PHO,Skal Labissiere,20.102,F,ht,University of Kentucky,2017.0,2019.0,96.0,19.4,8.5,4.7,1.0,0.4,0.6,0.476,0.488,0.355,0.766,2.6,0.068
629,1998,NBA,1,1,LAC,Michael Olowokandi,23.088,C,ng,University of the Pacific,1999.0,2007.0,500.0,26.3,8.3,6.8,0.7,0.5,1.4,0.435,0.435,,0.597,2.5,0.009
630,2005,NBA,2,55,SEA,Lawrence Roberts,22.257,F,us,Mississippi State University,2006.0,2007.0,87.0,13.2,3.8,3.6,0.4,0.5,0.2,0.452,0.46,0.0,0.688,2.5,0.106
631,2016,NBA,1,2,LAL,Brandon Ingram,18.299,F,us,Duke University,2017.0,2019.0,140.0,30.8,12.3,4.6,2.8,0.7,0.6,0.439,0.469,0.323,0.655,2.5,0.028
632,2016,NBA,1,8,SAC,Marquese Chriss,18.361,F,us,University of Washington,2017.0,2018.0,154.0,21.2,8.5,4.8,0.9,0.8,0.9,0.438,0.515,0.309,0.617,2.5,0.037
633,1998,NBA,1,16,HOU,Bryce Drew,23.282,G,us,Valparaiso University,1999.0,2004.0,243.0,16.3,4.4,1.2,2.2,0.5,0.0,0.382,0.389,0.371,0.83,2.4,0.03
634,2009,NBA,2,53,SAS,Nando De Colo,22.008,G,fr,,2013.0,2014.0,119.0,11.9,3.8,1.8,1.7,0.5,0.1,0.429,0.463,0.363,0.835,2.4,0.081
635,2011,NBA,1,10,MIL,Jimmer Fredette,22.123,G,us,Brigham Young University,2012.0,2016.0,235.0,13.4,6.0,1.0,1.4,0.4,0.0,0.412,0.432,0.381,0.876,2.4,0.037
636,2012,NBA,2,60,LAL,Robert Sacre,23.028,C,us,Gonzaga University,2013.0,2016.0,189.0,14.5,4.2,3.1,0.7,0.3,0.6,0.436,0.437,0.0,0.671,2.4,0.042
637,2016,NBA,1,15,DEN,Juan Hernangomez,20.274,F,es,,2017.0,2019.0,92.0,13.1,4.4,2.9,0.5,0.4,0.2,0.433,0.514,0.366,0.761,2.4,0.095
638,2016,NBA,2,33,LAC,Cheick Diallo,19.288,F,ml,University of Kansas,2017.0,2019.0,71.0,11.1,4.9,4.1,0.3,0.2,0.4,0.551,0.551,,0.747,2.4,0.144
639,2017,NBA,1,2,LAL,Lonzo Ball,19.243,G,us,"University of California, Los Angeles",2018.0,2019.0,57.0,33.7,10.3,6.8,7.0,1.7,0.8,0.369,0.432,0.314,0.474,2.4,0.06
640,1998,NBA,2,58,CHI,Maceo Baston,23.032,F,us,University of Michigan,2003.0,2009.0,105.0,7.9,2.7,1.7,0.2,0.2,0.4,0.616,0.628,0.375,0.74,2.3,0.134
641,2011,NBA,1,18,WAS,Chris Singleton,21.219,F,us,Florida State University,2012.0,2014.0,148.0,17.6,4.1,3.2,0.6,0.8,0.4,0.376,0.4,0.319,0.633,2.3,0.042
642,2016,NBA,2,38,MIL,Patrick McCaw,20.247,G,us,"University of Nevada, Las Vegas",2017.0,2018.0,128.0,15.9,4.0,1.4,1.2,0.6,0.2,0.421,0.517,0.296,0.775,2.3,0.054
643,1999,NBA,1,26,IND,Vonteego Cummings,23.127,G,us,University of Pittsburgh,2000.0,2002.0,199.0,19.0,6.9,1.9,2.7,0.9,0.2,0.383,0.404,0.321,0.726,2.2,0.028
644,2005,NBA,2,31,ATL,Salim Stoudamire,22.266,G,us,University of Arizona,2006.0,2008.0,157.0,17.0,8.0,1.4,1.0,0.4,0.1,0.407,0.435,0.366,0.882,2.2,0.04
645,2015,NBA,1,5,ORL,Mario Hezonja,20.125,F-G,hr,,2016.0,2019.0,225.0,18.4,7.0,2.7,1.3,0.7,0.3,0.416,0.486,0.329,0.824,2.2,0.026
646,1998,NBA,2,54,DEN,Tremaine Fowlkes,22.079,F,us,"California State University, Fresno",2002.0,2005.0,103.0,12.0,2.9,2.2,0.5,0.5,0.1,0.409,0.426,0.2,0.791,2.1,0.08
647,1999,NBA,2,36,DAL,Wang Zhizhi,21.362,C,cn,,2001.0,2005.0,137.0,9.2,4.4,1.7,0.3,0.2,0.3,0.417,0.435,0.385,0.735,2.1,0.078
648,2000,NBA,1,11,BOS,Jerome Moiso,22.019,F-C,fr,"University of California, Los Angeles",2001.0,2005.0,145.0,9.6,2.7,2.7,0.3,0.3,0.5,0.489,0.494,0.0,0.593,2.1,0.074
649,2001,NBA,1,24,UTA,Raul Lopez,21.078,G,es,,2004.0,2005.0,113.0,18.9,6.5,1.7,3.8,0.7,0.0,0.429,0.45,0.346,0.853,2.1,0.047
650,2011,NBA,2,45,NOH,Josh Harrellson,22.136,C,us,University of Kentucky,2012.0,2014.0,75.0,11.8,3.5,3.0,0.3,0.4,0.5,0.438,0.497,0.347,0.629,2.1,0.116
651,2013,NBA,2,36,SAC,Ray McCallum,22.021,G,us,University of Detroit Mercy,2014.0,2016.0,154.0,18.2,6.0,2.0,2.4,0.5,0.2,0.408,0.43,0.335,0.711,2.1,0.035
652,2016,NBA,2,32,LAL,Ivica Zubac,19.102,C,ba,,2017.0,2019.0,83.0,12.4,5.4,3.4,0.7,0.3,0.6,0.517,0.522,0.0,0.71,2.1,0.098
653,2001,NBA,1,17,TOR,Michael Bradley,22.076,F-C,us,Villanova University,2002.0,2006.0,173.0,11.7,2.8,3.4,0.5,0.1,0.3,0.477,0.488,0.143,0.511,2.0,0.047
654,2004,NBA,1,22,NJN,Viktor Khryapa,21.331,F,ua,,2005.0,2008.0,143.0,16.4,4.5,3.4,1.0,0.6,0.3,0.443,0.457,0.292,0.658,2.0,0.041
655,2004,NBA,2,45,CHA,Bernard Robinson,23.186,G-F,us,University of Michigan,2005.0,2007.0,128.0,14.9,4.5,2.5,1.0,0.9,0.1,0.417,0.434,0.161,0.786,2.0,0.049
656,2000,NBA,1,15,MIL,Jason Collier,22.299,C,us,Georgia Institute of Technology,2001.0,2005.0,151.0,14.4,5.6,2.9,0.3,0.2,0.2,0.455,0.458,0.35,0.738,1.9,0.042
657,2012,NBA,2,33,CLE,Bernard James,27.148,C,us,Florida State University,2013.0,2015.0,92.0,8.3,2.2,2.3,0.1,0.2,0.7,0.497,0.507,0.0,0.68,1.9,0.117
658,2012,NBA,2,58,MIN,Robbie Hummel,23.118,F,us,Purdue University,2014.0,2015.0,98.0,14.3,3.9,2.7,0.5,0.3,0.1,0.418,0.469,0.343,0.867,1.9,0.066
659,2014,NBA,1,5,UTA,Dante Exum,18.353,G,au,,2015.0,2019.0,166.0,20.2,5.8,1.8,2.2,0.4,0.2,0.396,0.481,0.307,0.758,1.9,0.027
660,2015,NBA,1,2,LAL,D'Angelo Russell,19.127,G,us,Ohio State University,2016.0,2019.0,196.0,27.8,14.6,3.6,4.3,1.1,0.2,0.409,0.453,0.347,0.758,1.9,0.016
661,2015,NBA,1,14,OKC,Cameron Payne,20.326,G,us,Murray State University,2016.0,2019.0,118.0,15.8,6.1,1.8,2.5,0.7,0.2,0.392,0.424,0.349,0.778,1.9,0.05
662,1999,NBA,1,17,ATL,Cal Bowdler,22.096,F,us,Old Dominion University,2000.0,2002.0,142.0,9.7,3.0,1.9,0.2,0.3,0.3,0.404,0.411,0.182,0.768,1.8,0.061
663,2000,NBA,1,26,DEN,Mamadou N'Diaye,25.019,C,sn,Auburn University,2001.0,2005.0,69.0,12.4,3.8,3.3,0.1,0.2,0.9,0.427,0.429,0.0,0.736,1.8,0.101
664,2001,NBA,1,9,DET,Rodney White,21.004,F,us,University of North Carolina at Charlotte,2002.0,2005.0,218.0,15.4,7.1,2.2,1.1,0.5,0.3,0.424,0.452,0.314,0.749,1.8,0.026
665,2008,NBA,2,60,BOS,Semih Erden,21.339,C,tr,,2011.0,2012.0,69.0,13.4,3.8,2.8,0.4,0.4,0.4,0.546,0.546,,0.594,1.8,0.094
666,1999,NBA,2,37,VAN,Obinna Ekezie,23.318,F-C,ng,University of Maryland,2000.0,2005.0,143.0,10.6,3.6,2.7,0.2,0.3,0.2,0.423,0.424,0.0,0.72,1.7,0.054
667,2002,NBA,1,20,TOR,Kareem Rush,21.244,G,us,University of Missouri,2003.0,2010.0,346.0,17.2,6.4,1.7,1.0,0.4,0.2,0.4,0.425,0.358,0.703,1.7,0.013
668,2004,NBA,1,12,SEA,Robert Swift,18.208,C,us,,2005.0,2009.0,97.0,15.5,4.3,3.9,0.2,0.3,0.9,0.506,0.506,,0.61,1.7,0.054
669,2010,NBA,2,44,MIL,Jerome Jordan,23.274,C,jm,University of Tulsa,2012.0,2015.0,65.0,7.6,2.8,2.0,0.3,0.1,0.3,0.528,0.528,,0.852,1.7,0.168
670,2012,NBA,1,27,MIA,Arnett Moultrie,21.228,F,us,Mississippi State University,2013.0,2014.0,59.0,12.4,3.6,3.1,0.2,0.4,0.2,0.547,0.547,,0.667,1.7,0.113
671,2012,NBA,1,28,OKC,Perry Jones,20.283,F,us,Baylor University,2013.0,2015.0,143.0,11.7,3.4,1.8,0.4,0.3,0.2,0.42,0.466,0.293,0.66,1.7,0.048
672,2007,NBA,1,11,ATL,Acie Law,22.159,G,us,Texas A&M University,2008.0,2011.0,188.0,12.7,3.9,1.0,1.6,0.4,0.0,0.413,0.452,0.235,0.778,1.6,0.032
673,2011,NBA,2,53,ORL,DeAndre Liggins,23.089,G,us,University of Kentucky,2012.0,2018.0,177.0,10.8,2.0,1.4,0.7,0.6,0.2,0.402,0.432,0.352,0.549,1.6,0.04
674,2016,NBA,1,24,PHI,Timothe Luwawu,21.051,F,fr,,2017.0,2018.0,121.0,16.5,6.1,1.8,1.1,0.4,0.1,0.39,0.46,0.323,0.834,1.6,0.039
675,1997,NBA,1,26,MIA,Charles Smith,21.313,G,us,University of New Mexico,1998.0,2006.0,142.0,13.9,5.1,1.4,0.9,0.6,0.5,0.409,0.473,0.288,0.606,1.5,0.036
676,2002,NBA,2,37,ATL,David Andersen,22.008,C,au,,2010.0,2011.0,103.0,12.3,4.9,2.8,0.6,0.2,0.2,0.44,0.467,0.347,0.674,1.5,0.059
677,2003,NBA,1,22,NJN,Zoran Planinic,20.292,G,ba,,2004.0,2006.0,148.0,10.7,3.8,1.3,1.1,0.4,0.0,0.405,0.447,0.289,0.677,1.5,0.046
678,2006,NBA,2,45,IND,Alexander Johnson,23.146,F,us,Florida State University,2007.0,2008.0,102.0,12.8,4.3,2.7,0.3,0.4,0.4,0.517,0.517,,0.672,1.5,0.056
679,2008,NBA,1,28,MEM,Donte Greene,20.131,F,de,Syracuse University,2009.0,2012.0,253.0,16.8,6.1,2.4,0.7,0.4,0.5,0.406,0.467,0.304,0.701,1.5,0.017
680,2008,NBA,2,38,CHA,Kyle Weaver,22.134,G,us,Washington State University,2009.0,2011.0,73.0,18.9,5.0,2.2,1.6,0.8,0.5,0.441,0.497,0.353,0.736,1.5,0.051
681,1998,NBA,2,30,DAL,Ansu Sesay,21.335,F,us,University of Mississippi,2002.0,2005.0,127.0,10.2,3.2,1.8,0.5,0.3,0.2,0.434,0.447,0.276,0.64,1.4,0.051
682,2002,NBA,1,21,POR,Qyntel Woods,21.135,F,us,Northeast Mississippi Community College,2003.0,2006.0,167.0,12.3,4.1,2.3,0.6,0.4,0.2,0.452,0.47,0.357,0.603,1.4,0.032
683,2002,NBA,2,40,WAS,Juan Carlos Navarro,22.018,G,es,,2008.0,2008.0,82.0,25.8,10.9,2.6,2.2,0.6,0.0,0.402,0.455,0.361,0.849,1.4,0.031
684,2002,NBA,2,47,UTA,Jamal Sampson,19.047,F-C,us,University of California,2003.0,2007.0,72.0,8.8,2.0,3.4,0.4,0.1,0.4,0.491,0.495,0.0,0.537,1.4,0.106
685,2012,NBA,2,36,SAC,Orlando Johnson,23.115,G,us,"University of California, Santa Barbara",2013.0,2016.0,103.0,10.8,3.2,1.7,0.7,0.2,0.1,0.358,0.398,0.311,0.727,1.4,0.059
686,2012,NBA,2,53,LAC,Furkan Aldemir,20.329,F-C,tr,,2015.0,2015.0,41.0,13.2,2.3,4.3,0.7,0.4,0.4,0.513,0.548,0.0,0.481,1.4,0.122
687,2000,NBA,2,45,SAC,Jabari Smith,23.142,C,us,Louisiana State University,2001.0,2005.0,108.0,9.8,3.0,1.6,0.6,0.3,0.2,0.413,0.42,0.125,0.69,1.3,0.058
688,2008,NBA,2,52,MIA,Darnell Jackson,22.237,F,us,University of Kansas,2009.0,2011.0,138.0,7.5,2.2,1.5,0.2,0.2,0.1,0.449,0.463,0.235,0.644,1.3,0.059
689,2011,NBA,2,36,NJN,Jordan Williams,20.26,F,us,University of Maryland,2012.0,2012.0,43.0,14.8,4.6,3.6,0.3,0.5,0.3,0.507,0.507,,0.652,1.3,0.101
690,2012,NBA,2,31,CHA,Jeff Taylor,23.042,F,se,Vanderbilt University,2013.0,2015.0,132.0,19.4,6.1,2.0,0.8,0.5,0.2,0.409,0.458,0.319,0.665,1.3,0.024
691,2014,NBA,1,18,PHO,Tyler Ennis,19.311,G,ca,Syracuse University,2015.0,2018.0,186.0,12.6,4.2,1.3,1.9,0.5,0.1,0.419,0.458,0.317,0.768,1.3,0.026
692,2014,NBA,1,21,OKC,Mitch McGary,22.025,F-C,us,University of Michigan,2015.0,2016.0,52.0,10.7,4.4,3.5,0.3,0.3,0.3,0.527,0.544,0.0,0.58,1.3,0.108
693,2014,NBA,2,32,PHI,K.J. McDaniels,21.142,G-F,us,Clemson University,2015.0,2017.0,148.0,14.1,5.3,2.2,0.6,0.5,0.6,0.412,0.479,0.29,0.776,1.3,0.03
694,2000,NBA,2,42,SEA,Olumide Oyedeji,19.053,C,ng,,2001.0,2003.0,93.0,6.3,1.4,2.1,0.1,0.2,0.2,0.495,0.495,,0.659,1.2,0.095
695,2017,NBA,2,35,ORL,Ivan Rabb,20.143,F,us,University of California,2018.0,2018.0,36.0,14.3,5.6,4.4,0.9,0.3,0.4,0.566,0.566,,0.806,1.2,0.109
696,2017,NBA,2,37,BOS,Semi Ojeleye,22.205,F,us,Southern Methodist University,2018.0,2019.0,77.0,15.2,2.6,2.1,0.3,0.3,0.1,0.344,0.4,0.315,0.605,1.2,0.048
697,1998,NBA,1,26,LAL,Sam Jacobson,22.343,G-F,us,University of Minnesota,1999.0,2001.0,68.0,11.1,4.2,1.2,0.5,0.5,0.0,0.511,0.529,0.36,0.739,1.1,0.071
698,2001,NBA,2,45,CHI,Sean Lampley,21.303,F,us,University of California,2003.0,2004.0,45.0,12.2,4.5,2.1,0.7,0.2,0.1,0.463,0.476,0.0,0.691,1.1,0.096
699,2003,NBA,1,17,PHO,Zarko Cabarkapa,22.041,F,rs,,2004.0,2006.0,150.0,10.3,4.3,2.1,0.6,0.2,0.2,0.427,0.457,0.273,0.733,1.1,0.035
700,2006,NBA,2,37,MIN,Bobby Jones,22.176,F,us,University of Washington,2007.0,2008.0,91.0,9.5,3.2,1.6,0.5,0.3,0.0,0.442,0.491,0.306,0.685,1.1,0.06
701,2013,NBA,1,29,OKC,Archie Goodwin,18.319,G,us,University of Kentucky,2014.0,2017.0,165.0,14.5,6.3,2.0,1.2,0.4,0.2,0.429,0.484,0.236,0.7,1.1,0.022
702,2014,NBA,2,44,MIN,Markel Brown,22.154,G,us,Oklahoma State University,2015.0,2018.0,113.0,15.9,5.2,2.1,1.2,0.6,0.2,0.38,0.427,0.295,0.781,1.1,0.029
703,2016,NBA,1,23,BOS,Ante Zizic,19.175,F-C,hr,,2018.0,2019.0,36.0,6.9,3.8,1.9,0.3,0.1,0.4,0.724,0.724,,0.714,1.1,0.217
704,2017,NBA,1,15,POR,Justin Jackson,22.092,G-F,us,University of North Carolina,2018.0,2019.0,74.0,22.7,6.8,2.9,1.1,0.5,0.2,0.438,0.55,0.3,0.714,1.1,0.032
705,2017,NBA,1,21,OKC,Terrance Ferguson,19.041,G-F,us,,2018.0,2019.0,65.0,12.9,3.0,0.8,0.3,0.4,0.2,0.395,0.593,0.313,0.833,1.1,0.061
706,2017,NBA,2,45,HOU,Dillon Brooks,21.157,F-G,ca,University of Oregon,2018.0,2019.0,86.0,28.0,10.6,3.0,1.6,0.8,0.2,0.437,0.478,0.357,0.744,1.1,0.022
707,1998,NBA,2,45,LAL,Toby Bailey,22.223,G,us,"University of California, Los Angeles",1999.0,2000.0,73.0,9.6,3.3,1.7,0.6,0.3,0.1,0.407,0.422,0.2,0.692,1.0,0.072
708,2001,NBA,2,34,ATL,Terence Morris,22.173,F,us,University of Maryland,2002.0,2006.0,139.0,13.9,3.4,2.7,0.7,0.3,0.4,0.407,0.465,0.196,0.711,1.0,0.025
709,2002,NBA,1,18,ORL,Curtis Borchardt,21.291,C,us,Stanford University,2004.0,2005.0,83.0,13.5,3.1,3.3,0.8,0.2,0.6,0.421,0.423,0.0,0.742,1.0,0.041
710,2002,NBA,2,33,DEN,Vincent Yarbrough,21.102,G-F,us,University of Tennessee,2003.0,2003.0,59.0,23.4,6.9,2.7,2.2,1.0,0.6,0.393,0.42,0.269,0.79,1.0,0.035
